DATE;DAY;MONTH;WEEKDAY;PM2.5(AQI);PM10(AQI);O3(AQI);NO2(AQI);SO2(AQI);PRECIPITATIONS(mm);TAVG(C);TMAX(C);TMIN(C);PRESSURE(hPa);WINDSPEED(km/h);HUMIDITY(percentage)
26/01/2016;26;1;2;99;52;3;30;8;0;8.9;16.8;3.5;1031.3;5.8;85.7
27/01/2016;27;1;3;118;33;18;29;6;0.1;8.4;10.2;6.6;1030.9;6.3;88.1
28/01/2016;28;1;4;85;16;16;29;8;2.2;8.1;10.1;7.1;1029.7;7.6;91.8
29/01/2016;29;1;5;49;18;23;26;6;0;8.2;10.7;6.7;1031.3;8.9;89.6
30/01/2016;30;1;6;54;20;25;29;7;0;7.8;14.2;1.5;1034.1;6.7;84.5
31/01/2016;31;1;7;56;38;7;39;9;0;8.6;14.8;4.4;1034.2;7.4;80.5
01/02/2016;1;2;1;85;41;6;38;9;0;8.8;17.7;1.7;1035.1;5.9;83.3
02/02/2016;2;2;2;96;19;28;26;8;0;7.2;14.7;1.8;1031.1;5.1;81.0
03/02/2016;3;2;3;51;12;25;27;9;0;8.8;14.8;4;1028.7;5.9;85.5
04/02/2016;4;2;4;33;22;16;34;8;0;5.8;13.5;0.6;1035.0;16.4;59.1
05/02/2016;5;2;5;53;36;19;28;8;0;4.3;12.4;-1.3;1034.2;7.3;67.5
06/02/2016;6;2;6;81;11;31;18;7;11.3;5.7;12.6;-1;1026.9;6.0;78.0
07/02/2016;7;2;7;29;15;23;21;6;0;7.9;11.2;5.3;1016.8;23.4;73.6
08/02/2016;8;2;1;35;10;24;16;5;0;9.3;13.7;6.4;1024.7;21.4;64.9
09/02/2016;9;2;2;26;11;25;17;6;0.1;11.3;13.5;9.6;1025.0;22.2;78.5
10/02/2016;10;2;3;27;11;28;21;6;0;12.4;15.3;9.2;1017.8;29.4;77.9
11/02/2016;11;2;4;28;10;24;17;7;1.4;13.4;16.8;11.1;1012.9;29.0;83.1
12/02/2016;12;2;5;31;7;16;12;7;6;12.2;14.1;9.7;1012.8;27.7;73.7
13/02/2016;13;2;6;23;8;34;15;7;3.3;13.6;14.9;12.7;1009.3;29.3;89.3
14/02/2016;14;2;7;20;8;33;17;8;0.8;8.4;12.7;4.5;1005.6;28.3;78.6
15/02/2016;15;2;1;20;8;30;20;10;0;5.4;10.6;2.3;1007.2;21.6;66.2
16/02/2016;16;2;2;22;19;27;31;8;0;3.8;9;-1.2;1022.8;24.7;54.2
17/02/2016;17;2;3;47;13;26;24;8;0.9;2.4;10;-5.5;1027.6;16.2;57.9
18/02/2016;18;2;4;39;11;28;25;10;0;5.6;10.4;2.4;1019.3;14.4;67.5
19/02/2016;19;2;5;32;14;30;32;11;0;5.2;12.8;-0.3;1022.9;11.0;71.3
20/02/2016;20;2;6;41;50;29;28;10;0;5.3;15.3;-2.3;1029.6;8.4;55.1
21/02/2016;21;2;7;84;160;28;36;9;0;6.6;15.2;-0.9;1030.6;6.8;56.5
22/02/2016;22;2;1;159;51;27;35;8;0;8.3;16.2;0.7;1024.4;6.3;61.4
23/02/2016;23;2;2;68;38;22;31;7;0;8.3;16.4;0.2;1023.8;8.3;63.1
24/02/2016;24;2;3;68;15;33;26;7;1.8;6.1;12.2;0.6;1024.7;7.0;71.1
25/02/2016;25;2;4;38;12;26;25;6;0;8.8;13.8;2.1;1017.3;10.0;82.7
26/02/2016;26;2;5;37;7;33;17;4;6.2;6.4;9;4.2;1013.3;15.3;64.8
27/02/2016;27;2;6;22;7;31;17;8;0;5.7;9.2;3.8;1000.1;24.9;82.3
28/02/2016;28;2;7;22;14;35;25;9;0;7.2;10.2;4.1;999.7;22.1;56.6
29/02/2016;29;2;1;37;27;27;42;9;0;7.9;12.4;4;1011.9;27.0;56.4
01/03/2016;1;3;2;59;25;32;36;8;0;7.6;17.9;-1;1025.7;20.1;52.8
02/03/2016;2;3;3;54;17;35;27;8;0;9.3;18.8;-0.4;1027.3;5.1;50.7
03/03/2016;3;3;4;40;25;31;35;6;0;9.2;16.5;1.9;1021.1;15.0;60.6
04/03/2016;4;3;5;59;10;33;18;4;2.3;8.3;16.3;0.2;1017.4;5.1;61.8
05/03/2016;5;3;6;28;8;33;18;4;0;6.8;11.4;3.9;1006.8;26.2;60.2
06/03/2016;6;3;7;25;9;35;20;9;2.5;6.6;11.5;-0.4;1012.6;15.8;64.8
07/03/2016;7;3;1;27;9;35;20;8;1.9;7.4;11.9;3.1;1011.7;18.3;55.5
08/03/2016;8;3;2;24;16;36;30;7;0;6.9;12;2.4;1013.3;23.8;55.1
09/03/2016;9;3;3;40;11;34;19;9;0;6.6;15.2;-0.7;1021.5;13.4;63.4
10/03/2016;10;3;4;25;10;34;20;9;0;7;11.9;3.1;1014.0;24.1;52.1
11/03/2016;11;3;5;28;17;31;25;8;0;8.1;14.7;2.5;1019.6;25.5;50.4
12/03/2016;12;3;6;50;20;39;23;8;0;6.4;14.7;-2.2;1022.3;11.4;56.5
13/03/2016;13;3;7;57;24;41;24;8;0;8;16.8;0;1022.2;7.7;55.8
14/03/2016;14;3;1;64;24;35;27;8;0;7.2;14;1;1017.3;9.5;41.8
15/03/2016;15;3;2;61;34;41;40;8;0;7.2;15.8;-1.3;1018.2;7.3;50.0
16/03/2016;16;3;3;73;26;34;35;8;0;7.6;16.6;-2.1;1019.2;6.7;55.9
17/03/2016;17;3;4;62;23;36;27;7;0;9.2;16.7;1;1017.8;7.8;51.4
18/03/2016;18;3;5;57;13;30;18;6;17.2;8.4;15.6;0.4;1017.0;9.0;53.7
19/03/2016;19;3;6;43;12;29;19;7;0.6;9.8;13.6;6.7;1013.2;13.2;71.5
20/03/2016;20;3;7;41;12;30;25;8;0.5;8.3;14.3;2.8;1013.1;14.8;78.8
21/03/2016;21;3;1;40;12;33;22;7;31.4;9.1;15.4;5.6;1013.2;7.6;75.7
22/03/2016;22;3;2;37;20;36;26;8;0;10;15.4;6.4;1010.4;9.4;81.9
23/03/2016;23;3;3;57;19;36;20;6;0;8.4;15;2;1008.1;7.9;66.3
24/03/2016;24;3;4;58;22;36;29;7;0;9.9;20;0.2;1012.9;13.0;56.4
25/03/2016;25;3;5;60;23;22;20;5;0;10.2;18;1.1;1020.1;5.9;58.3
26/03/2016;26;3;6;63;9;34;11;5;0.6;10.3;16.7;2.9;1023.6;5.7;64.6
27/03/2016;27;3;7;24;15;25;20;6;0;12.1;16.1;8.5;1019.5;21.2;68.1
28/03/2016;28;3;1;34;18;33;25;6;0;11.1;14.1;9.5;1018.7;18.8;50.8
29/03/2016;29;3;2;41;24;40;35;6;0;13.6;19.1;8.8;1019.0;15.3;79.2
30/03/2016;30;3;3;54;13;33;24;7;0.7;13.9;22.4;4.6;1016.0;11.8;64.6
31/03/2016;31;3;4;31;9;37;18;8;0;9.2;13.2;5.2;1008.7;21.3;56.0
01/04/2016;1;4;5;25;15;42;21;7;0;8.2;14.4;2.4;1017.9;22.9;52.2
02/04/2016;2;4;6;40;17;34;22;5;0;9.4;16.9;-0.2;1015.4;10.8;52.2
03/04/2016;3;4;7;46;13;25;27;5;9.1;10.8;15.2;7.1;1010.8;12.4;44.2
04/04/2016;4;4;1;40;12;37;21;7;15.8;8.3;10.8;6.7;1011.0;16.2;76.4
05/04/2016;5;4;2;36;11;38;22;7;0;10.9;16.7;6.6;1003.8;12.1;87.9
06/04/2016;6;4;3;34;14;37;25;7;0;11.9;20.6;3.3;1013.7;18.9;58.1
07/04/2016;7;4;4;39;9;36;18;7;0;12.3;21.1;3.8;1015.8;9.1;52.9
08/04/2016;8;4;5;24;14;37;21;6;0;9.4;14.2;4.4;1014.9;14.9;48.1
09/04/2016;9;4;6;36;13;34;14;5;0;10.9;18.4;1.5;1016.5;11.6;52.3
10/04/2016;10;4;7;34;13;29;19;5;1.5;10.4;14.5;6.8;1008.7;17.0;56.7
11/04/2016;11;4;1;32;12;32;23;5;6.3;8.9;14.3;4.8;1007.1;19.0;76.5
12/04/2016;12;4;2;40;12;33;22;5;8.2;9.8;13.9;7.6;1010.5;17.0;81.9
13/04/2016;13;4;3;38;18;32;27;6;0;11.5;16.2;7.6;1011.8;14.9;83.9
14/04/2016;14;4;4;53;21;32;29;6;0;13.3;19.7;7.1;1015.2;12.4;67.7
15/04/2016;15;4;5;55;10;25;18;5;1.6;13.3;19.8;5.3;1013.1;9.3;70.2
16/04/2016;16;4;6;36;9;37;17;4;12.5;12.9;15.6;10.2;1010.5;17.8;72.2
17/04/2016;17;4;7;24;13;38;22;6;0;12.6;17.5;7;1011.7;19.0;83.1
18/04/2016;18;4;1;38;17;31;26;5;0;13.7;22.4;3.8;1017.1;11.5;65.7
19/04/2016;19;4;2;47;13;28;29;6;30.2;12.4;14.1;11.5;1015.4;8.4;59.4
20/04/2016;20;4;3;45;12;36;23;5;2.3;10.9;13.3;8.7;1015.4;8.3;91.4
21/04/2016;21;4;4;32;16;31;29;6;1.3;12.9;17.9;8.5;1018.2;8.3;87.3
22/04/2016;22;4;5;43;18;32;26;7;3.2;12;17.4;9;1020.6;9.8;69.6
23/04/2016;23;4;6;50;9;37;17;6;1;11.9;18.9;7.5;1018.5;5.4;85.8
24/04/2016;24;4;7;27;13;40;22;5;0;12.3;18.8;4.9;1016.5;10.4;74.9
25/04/2016;25;4;1;39;17;38;31;7;0;12.6;20.3;3.4;1017.8;11.4;56.2
26/04/2016;26;4;2;47;23;38;32;7;0;14.6;22.5;4.5;1014.5;7.1;56.2
27/04/2016;27;4;3;54;12;34;21;5;0.9;14.6;21.8;7.9;1010.2;9.3;57.8
28/04/2016;28;4;4;38;15;31;21;5;1.3;13.9;18.7;10.6;1009.4;11.3;61.7
29/04/2016;29;4;5;42;14;39;16;5;24.9;13.8;20;9.8;1014.2;7.9;64.8
30/04/2016;30;4;6;44;10;40;9;5;0;13.2;18.6;7.2;1016.0;7.6;76.3
01/05/2016;1;5;7;23;12;48;15;6;0;10.9;18;3.6;1024.3;17.8;46.6
02/05/2016;2;5;1;26;15;40;30;7;0;13.5;24.2;2.6;1025.1;12.8;42.3
03/05/2016;3;5;2;39;23;50;37;6;0;17.4;26.9;6.3;1020.9;7.1;41.5
04/05/2016;4;5;3;47;24;38;36;6;0;17.9;27.5;8;1018.6;5.9;45.1
05/05/2016;5;5;4;52;16;33;23;7;1.5;15.6;20.5;11;1014.1;6.1;45.4
06/05/2016;6;5;5;49;13;31;16;4;18.9;13.4;16.6;10.3;1011.2;11.4;61.3
07/05/2016;7;5;6;41;10;31;14;4;8;14.2;17.4;11.4;1007.8;14.5;86.6
08/05/2016;8;5;7;34;9;31;19;6;13.4;12.1;13.3;10.5;1003.1;18.5;78.1
09/05/2016;9;5;1;31;13;26;25;6;8.3;11.7;14.5;8.2;1002.0;11.3;91.0
10/05/2016;10;5;2;37;11;33;25;6;6.3;11.3;16.9;6.8;1007.5;8.4;87.0
11/05/2016;11;5;3;32;10;32;21;6;5.2;11.3;16.7;6.6;1006.7;15.0;85.3
12/05/2016;12;5;4;31;11;30;24;5;0.1;12.4;16.9;9.3;1006.5;14.1;79.2
13/05/2016;13;5;5;31;10;37;19;6;1.5;12.9;17.8;8.7;1008.7;14.4;71.0
14/05/2016;14;5;6;35;12;42;20;6;0;13.9;20;6.8;1014.9;8.8;75.7
15/05/2016;15;5;7;41;14;48;16;6;0;16.7;22.2;12.1;1018.4;6.8;62.8
16/05/2016;16;5;1;47;17;51;26;5;0;16.2;24;7.9;1020.9;6.9;59.9
17/05/2016;17;5;2;47;25;42;35;7;0;17.6;24.4;9.5;1019.3;8.3;51.2
18/05/2016;18;5;3;60;16;36;20;6;0;18.8;25.9;10;1014.9;5.7;58.3
19/05/2016;19;5;4;45;17;45;24;6;0;19.2;25.7;12;1014.8;13.5;49.2
20/05/2016;20;5;5;45;28;45;34;6;0;20.1;28.3;10.4;1019.6;9.7;54.4
21/05/2016;21;5;6;64;23;38;16;6;0;20.8;28.2;12.2;1017.2;6.8;55.6
22/05/2016;22;5;7;47;16;44;20;6;0;19.4;22.5;10.3;1011.4;18.8;53.5
23/05/2016;23;5;1;35;27;34;30;6;0;15.4;22.8;7.1;1020.1;15.8;49.1
24/05/2016;24;5;2;51;18;35;21;5;0;18.6;26;11.1;1017.0;5.9;51.5
25/05/2016;25;5;3;41;22;40;28;6;0;17.9;21;14.5;1009.2;14.7;56.6
26/05/2016;26;5;4;50;26;40;31;6;0;18.8;24.7;12.3;1011.1;9.3;59.2
27/05/2016;27;5;5;57;16;31;23;5;0;18.8;25.9;10.1;1011.3;8.5;56.0
28/05/2016;28;5;6;41;10;28;14;3;5.5;15.4;21.6;10.1;1013.4;13.1;52.3
29/05/2016;29;5;7;30;13;39;21;7;2.2;15.2;20;12.1;1015.5;21.7;75.1
30/05/2016;30;5;1;35;11;44;19;7;0;15.9;22;9.9;1017.4;13.0;71.2
31/05/2016;31;5;2;36;15;47;23;6;0;17;23.6;8;1018.5;9.7;54.3
01/06/2016;1;6;3;44;16;56;28;5;0;17.9;26.2;8.7;1020.2;11.0;47.0
02/06/2016;2;6;4;41;31;48;36;8;0;19.7;28;7.7;1016.6;7.7;40.9
03/06/2016;3;6;5;60;21;46;24;6;0.1;21.7;29.4;12.2;1011.0;5.8;42.1
04/06/2016;4;6;6;56;19;45;18;6;0;21.3;27.6;14.4;1008.8;10.7;45.0
05/06/2016;5;6;7;51;25;37;29;8;0;21.6;28.9;11.8;1013.5;8.1;56.5
06/06/2016;6;6;1;57;21;40;27;8;0;22.2;29.8;12.1;1014.6;9.3;44.4
07/06/2016;7;6;2;51;26;46;39;8;0;24.3;32.3;12.7;1017.5;8.7;47.1
08/06/2016;8;6;3;59;32;41;38;7;0;25.7;34.6;13.5;1018.3;6.6;40.2
09/06/2016;9;6;4;59;31;40;31;6;0;27.6;35.2;16.8;1015.1;8.0;37.8
10/06/2016;10;6;5;61;20;41;17;5;0;25.7;31.2;18.8;1008.7;9.7;36.0
11/06/2016;11;6;6;49;18;33;18;5;0;24.6;31;16.5;1008.8;12.1;43.8
12/06/2016;12;6;7;44;19;31;15;7;0;24.8;32.4;13.9;1012.8;8.8;37.9
13/06/2016;13;6;1;42;20;29;18;7;0;26.4;31.5;19.8;1013.2;17.8;40.0
14/06/2016;14;6;2;41;17;26;17;7;0;23.2;29.4;14.6;1010.8;22.0;40.2
15/06/2016;15;6;3;28;17;32;19;8;0.2;18.6;22.8;13.3;1005.8;20.1;44.0
16/06/2016;16;6;4;35;15;36;20;5;0.1;16.2;21.7;12.2;1005.7;23.6;52.6
17/06/2016;17;6;5;33;13;35;11;4;0;17.7;23.8;9.5;1012.2;14.4;50.8
18/06/2016;18;6;6;36;12;38;12;5;0;18.8;23.9;12.6;1018.2;14.4;42.7
19/06/2016;19;6;7;31;16;31;22;7;0;19.4;28.1;9;1025.1;11.0;43.0
20/06/2016;20;6;1;47;20;43;22;7;0;24.4;32.8;13.5;1022.9;12.0;37.7
21/06/2016;21;6;2;49;21;41;22;7;0;26.7;34.2;16.1;1019.0;7.7;37.9
22/06/2016;22;6;3;35;30;44;24;7;0;27.7;34.8;16.3;1017.3;10.7;30.1
23/06/2016;23;6;4;52;37;40;41;8;0;26.9;33.7;16.8;1015.4;14.9;26.9
24/06/2016;24;6;5;64;26;55;18;6;0;26.6;35.3;14.9;1016.7;12.0;31.4
25/06/2016;25;6;6;57;24;58;12;3;0;26.4;33.5;18;1013.1;15.0;34.6
26/06/2016;26;6;7;52;26;78;20;6;0;24.8;32.9;16.4;1012.2;9.9;38.1
27/06/2016;27;6;1;60;42;43;31;6;0;26.6;34.8;16.3;1015.6;7.9;38.8
28/06/2016;28;6;2;85;49;42;32;7;0.1;27.7;36.5;17.9;1015.9;6.8;32.9
29/06/2016;29;6;3;75;30;44;31;7;0;28.6;35.6;18.9;1012.1;10.2;40.4
30/06/2016;30;6;4;62;26;41;30;7;0;27.4;35;18;1010.8;11.9;35.3
01/07/2016;1;7;5;56;21;44;27;7;0;28;34.6;17.8;1012.7;10.8;33.6
02/07/2016;2;7;6;55;27;56;14;4;0;28.5;35.8;18;1014.0;10.3;29.3
03/07/2016;3;7;7;60;38;45;22;6;0;29;37.4;19.7;1015.3;10.9;33.5
04/07/2016;4;7;1;70;25;55;24;3;0.2;27.4;34.9;20.1;1014.1;8.5;34.6
05/07/2016;5;7;2;61;31;65;25;6;4.9;27.5;35.8;18.4;1014.6;10.5;47.6
06/07/2016;6;7;3;66;23;40;25;4;2.1;27;35.3;17.6;1016.0;12.5;54.4
07/07/2016;7;7;4;55;27;64;34;4;0;25.6;32.1;20.1;1015.3;12.0;52.1
08/07/2016;8;7;5;58;25;85;24;5;0;27.9;35.3;19.2;1016.9;8.6;48.4
09/07/2016;9;7;6;62;34;51;29;4;0;29.2;36.6;19.1;1017.6;6.7;44.2
10/07/2016;10;7;7;66;25;46;33;4;0;31.2;38.3;21.2;1013.8;6.3;35.1
11/07/2016;11;7;1;59;19;46;26;2;0;31.3;37.5;22.5;1010.2;8.6;31.7
12/07/2016;12;7;2;47;16;40;14;2;0;27.3;34.3;19.2;1010.0;12.7;29.1
13/07/2016;13;7;3;38;14;47;16;2;0;22.9;29.9;15.2;1014.2;15.8;37.0
14/07/2016;14;7;4;33;17;57;18;2;0;22.1;31.4;12.5;1019.8;14.6;36.5
15/07/2016;15;7;5;35;27;61;27;3;0;22.6;31.6;13;1020.3;14.6;28.2
16/07/2016;16;7;6;56;25;54;20;2;0;26.7;34.4;15.9;1018.4;6.2;26.3
17/07/2016;17;7;7;51;26;44;25;2;0;28.8;36.7;17.3;1015.7;7.6;33.0
18/07/2016;18;7;1;52;36;48;26;2;0;30.1;37.7;18.3;1014.9;8.3;26.7
19/07/2016;19;7;2;57;72;47;31;2;0;30.2;38.7;19.1;1014.2;12.0;25.8
20/07/2016;20;7;3;97;33;48;36;2;0;30.9;36.8;23.7;1012.9;9.6;26.9
21/07/2016;21;7;4;61;24;57;23;2;0;28.1;35.2;16.5;1012.7;13.4;33.1
22/07/2016;22;7;5;51;12;31;9;2;0;26.9;33.2;17.6;1010.3;10.3;26.1
23/07/2016;23;7;6;29;14;50;9;1;0;24.7;31.6;16.3;1014.9;14.9;40.6
24/07/2016;24;7;7;33;17;52;14;2;0;26.3;34.1;17.1;1016.9;12.6;39.1
25/07/2016;25;7;1;37;28;63;25;2;0;28.7;37;17.9;1015.5;7.0;32.7
26/07/2016;26;7;2;49;31;78;30;2;0;30.3;38.2;19.2;1015.3;8.2;27.8
27/07/2016;27;7;3;65;29;74;24;2;0;31.3;38.1;23.1;1013.5;9.1;28.9
28/07/2016;28;7;4;59;36;57;33;2;0;30.6;37.7;21.5;1013.4;10.5;28.9
29/07/2016;29;7;5;69;40;51;26;2;0;31.6;38.6;21.3;1012.4;7.3;29.5
30/07/2016;30;7;6;70;23;49;17;2;0;30.5;36.1;23.4;1010.7;13.9;26.1
31/07/2016;31;7;7;54;22;62;16;2;0;27.9;34.3;18;1012.3;18.0;26.2
01/08/2016;1;8;1;53;30;63;28;2;0;27.7;34.7;19.1;1014.8;11.8;36.6
02/08/2016;2;8;2;57;36;65;38;2;0;29.3;37.1;19.3;1015.8;6.3;34.0
03/08/2016;3;8;3;64;29;44;30;2;0;30;38;18.4;1014.3;6.6;26.9
04/08/2016;4;8;4;54;17;47;13;1;0;29.3;36.1;19.6;1011.0;8.6;24.3
05/08/2016;5;8;5;45;16;42;13;2;0;27.4;33.5;20.1;1013.0;18.2;37.9
06/08/2016;6;8;6;36;19;46;14;2;0;27.7;35.8;16.6;1019.0;9.3;32.2
07/08/2016;7;8;7;43;26;55;23;2;0;28.5;36.3;18.8;1020.4;9.6;22.2
08/08/2016;8;8;1;47;26;46;25;2;0;28.2;35.6;17.8;1019.8;6.3;27.5
09/08/2016;9;8;2;47;14;40;10;2;0;26.6;35.2;18.7;1017.5;6.4;27.0
10/08/2016;10;8;3;33;15;45;13;2;0;22.9;29.6;16.3;1015.8;15.1;43.0
11/08/2016;11;8;4;31;25;56;18;2;0;23.4;31.2;15.1;1018.8;12.7;31.5
12/08/2016;12;8;5;51;23;52;16;2;0;25.3;33.2;15.3;1020.7;7.2;27.4
13/08/2016;13;8;6;53;20;43;13;2;0;26.5;34.2;16.1;1020.5;6.9;36.1
14/08/2016;14;8;7;49;29;43;16;2;0;27.3;34.9;16.8;1018.3;8.8;33.2
15/08/2016;15;8;1;49;43;42;26;2;0;27.7;35;17.3;1016.1;8.9;31.9
16/08/2016;16;8;2;71;37;45;29;2;0;27.9;34;19.5;1013.4;9.8;32.9
17/08/2016;17;8;3;63;27;44;23;2;0;27.2;33.8;17.3;1011.6;10.7;34.4
18/08/2016;18;8;4;53;23;38;23;2;0;27.3;33.9;17.5;1010.6;9.4;28.2
19/08/2016;19;8;5;53;17;44;14;2;0;27.7;34.3;16.9;1008.9;8.1;34.0
20/08/2016;20;8;6;46;30;56;13;2;0;28.2;33.4;20.9;1009.5;15.3;38.3
21/08/2016;21;8;7;50;30;47;20;2;0;25.4;33.3;17.1;1016.1;12.4;39.9
22/08/2016;22;8;1;54;33;44;26;3;0;27.6;35.5;17.1;1019.8;5.6;35.3
23/08/2016;23;8;2;62;25;44;21;3;0;28.8;36.4;19.8;1018.8;7.1;39.1
24/08/2016;24;8;3;45;22;44;23;3;0;27.9;34.7;17.9;1016.9;8.0;33.8
25/08/2016;25;8;4;43;30;47;22;3;0;27;35.2;15.9;1014.7;10.5;27.5
26/08/2016;26;8;5;49;39;44;22;3;0;27.2;34;17.4;1013.1;9.3;29.2
27/08/2016;27;8;6;69;56;45;29;3;0;28.7;36;19.4;1014.1;6.8;35.2
28/08/2016;28;8;7;84;33;52;24;2;0;28.8;35.6;19;1015.2;9.6;33.5
29/08/2016;29;8;1;67;29;49;20;2;0;28.2;34.8;20;1015.5;10.6;32.8
30/08/2016;30;8;2;50;34;51;26;2;0;25.1;33.3;17.2;1015.8;12.2;40.7
31/08/2016;31;8;3;63;33;46;23;3;0;26.6;33.7;18.3;1014.5;6.4;40.7
01/09/2016;1;9;4;60;31;50;35;3;0;27.4;34.6;19.6;1017.0;6.1;43.5
02/09/2016;2;9;5;55;35;49;38;4;0;27.1;34.7;17.5;1019.1;8.3;38.7
03/09/2016;3;9;6;68;44;43;38;4;0;27.8;36.1;17.1;1018.2;6.4;39.2
04/09/2016;4;9;7;80;54;42;40;4;0;28.9;37.5;17.3;1017.3;7.2;31.9
05/09/2016;5;9;1;89;48;38;44;4;0;30.1;38.9;18.5;1018.4;8.8;30.0
06/09/2016;6;9;2;72;52;31;46;5;0;30.4;39.5;18.7;1018.4;8.3;24.7
07/09/2016;7;9;3;75;46;55;35;4;0;30.4;38.9;18.9;1013.7;7.7;24.6
08/09/2016;8;9;4;86;30;43;25;3;0;26.4;33.5;15.8;1010.7;12.4;25.4
09/09/2016;9;9;5;61;25;52;20;2;0;25.4;31.1;17.8;1012.1;9.9;38.8
10/09/2016;10;9;6;58;29;51;24;3;0;26.1;32.7;17.4;1013.4;9.7;35.6
11/09/2016;11;9;7;63;38;41;34;4;0;25.3;32.7;17.1;1014.1;6.4;36.3
12/09/2016;12;9;1;69;31;27;21;3;0;25.9;34.1;17.2;1013.4;7.6;36.2
13/09/2016;13;9;2;54;13;27;21;3;5.9;21.2;25.6;12.8;1009.7;15.8;42.3
14/09/2016;14;9;3;37;14;30;26;3;0;15.4;20;11.8;1012.4;13.9;72.3
15/09/2016;15;9;4;35;16;26;25;3;0;16.4;20.4;9.7;1014.7;14.4;49.8
16/09/2016;16;9;5;43;13;27;15;1;0;18.7;25.3;10.4;1016.8;14.6;52.7
17/09/2016;17;9;6;37;15;33;15;2;0;17.7;24.3;11.1;1021.7;9.1;57.9
18/09/2016;18;9;7;35;19;29;26;3;0;18.1;25;10.6;1020.8;6.5;52.6
19/09/2016;19;9;1;40;20;39;29;4;0;18.4;26.2;9;1020.1;8.5;48.6
20/09/2016;20;9;2;49;27;43;36;4;0;20.5;27.4;12.6;1016.0;6.2;42.4
21/09/2016;21;9;3;65;30;40;40;4;0;20.5;28.5;10.2;1014.2;6.1;42.2
22/09/2016;22;9;4;64;34;40;43;4;0;19.8;28.3;9.1;1015.7;9.7;37.3
23/09/2016;23;9;5;70;34;41;35;4;0;19.9;27.8;11.3;1018.9;7.4;36.5
24/09/2016;24;9;6;72;35;42;34;4;0;20.1;27.9;11.1;1021.2;6.6;41.5
25/09/2016;25;9;7;76;36;35;26;3;0;20.3;27.6;12.5;1018.5;6.6;39.2
26/09/2016;26;9;1;99;39;35;23;3;0;21.8;27.2;15.8;1018.3;6.3;46.2
27/09/2016;27;9;2;57;25;26;16;3;0;21.9;29.6;12.3;1020.3;9.4;38.8
28/09/2016;28;9;3;71;33;39;28;4;0;21;26.5;14.9;1024.0;9.7;46.7
29/09/2016;29;9;4;78;39;36;34;4;0;18.9;26.1;9.7;1026.8;8.2;52.2
30/09/2016;30;9;5;95;32;41;36;4;0;19.1;26.7;10.5;1021.2;6.3;53.1
01/10/2016;1;10;6;59;33;37;29;4;0;20.6;27.3;11.1;1014.3;6.8;37.4
02/10/2016;2;10;7;58;34;37;36;5;0;19.3;26.4;10.3;1012.8;12.1;43.2
03/10/2016;3;10;1;67;41;37;43;5;0;19.5;28.9;9.8;1016.6;9.3;47.3
04/10/2016;4;10;2;66;55;37;45;5;0;19.9;28.6;11.1;1018.8;6.9;48.2
05/10/2016;5;10;3;72;46;40;48;6;0;19.9;28.5;10.7;1018.3;5.6;42.6
06/10/2016;6;10;4;72;32;34;42;5;0;20.9;29;13.5;1013.2;4.9;44.5
07/10/2016;7;10;5;61;30;35;42;5;0;17.8;27.3;7.6;1011.2;9.6;37.9
08/10/2016;8;10;6;63;30;41;29;4;0;17.8;27.4;7.8;1015.7;7.8;27.0
09/10/2016;9;10;7;66;22;33;26;4;0;18.4;26.7;9.5;1016.7;5.1;37.2
10/10/2016;10;10;1;52;29;42;34;4;0;17.3;25.4;8.2;1016.6;5.2;46.0
11/10/2016;11;10;2;56;19;32;18;4;0;15.6;24.6;4.4;1015.8;8.3;43.9
12/10/2016;12;10;3;55;14;23;23;3;13.4;12.9;14.9;11.4;1009.0;11.9;49.0
13/10/2016;13;10;4;40;16;20;23;3;0.9;13.7;15.6;11.7;1003.4;6.1;91.9
14/10/2016;14;10;5;47;21;33;30;4;0;14.7;18.9;9.9;1003.1;9.3;84.3
15/10/2016;15;10;6;57;21;32;30;4;0;12.6;19.3;5.9;1010.9;9.3;75.6
16/10/2016;16;10;7;56;25;17;34;4;0;14;20.9;6.2;1017.3;6.8;72.5
17/10/2016;17;10;1;64;18;20;25;4;4.4;15.7;19;12.7;1019.4;4.2;69.7
18/10/2016;18;10;2;52;24;11;32;4;0.9;16.4;20;13.1;1023.9;7.6;83.0
19/10/2016;19;10;3;67;27;8;29;5;5;16.9;19.9;14.7;1023.1;3.6;80.4
20/10/2016;20;10;4;72;27;14;28;4;0;15.9;19.4;13.5;1017.4;4.7;87.0
21/10/2016;21;10;5;66;25;10;25;5;0;14.9;19.7;9.2;1013.5;5.4;85.7
22/10/2016;22;10;6;67;10;20;12;3;11;15;16.8;12.8;1010.6;4.6;84.4
23/10/2016;23;10;7;35;12;20;23;4;11.8;14.2;15;11.5;1006.0;14.4;91.9
24/10/2016;24;10;1;41;23;16;28;4;0.2;13.1;15.7;11;1009.0;11.2;91.6
25/10/2016;25;10;2;49;53;12;37;6;0.2;16.2;20.8;11.7;1014.7;9.4;86.0
26/10/2016;26;10;3;79;49;15;38;6;0;17.9;24.6;12.3;1020.7;7.3;84.0
27/10/2016;27;10;4;80;46;16;35;5;0;18.1;25.2;11.8;1024.8;6.2;78.7
28/10/2016;28;10;5;81;36;22;38;5;0;16.9;23.8;11.7;1027.4;4.7;77.6
